[2018-04-23T16:21:18.067] [INFO] logInfo - ::1 - - "GET / HTTP/1.1" 200 1625 "" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1"
[2018-04-23T16:21:18.187] [INFO] logInfo - ::1 - - "GET /stylesheets/style.css HTTP/1.1" 200 566 "http://localhost:8088/" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1"
[2018-04-23T16:21:19.344] [INFO] logInfo - ::1 - - "GET /v1/home HTTP/1.1" 200 478 "http://localhost:8088/" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1"
[2018-04-23T16:21:28.915] [INFO] logInfo - ::1 - - "GET / HTTP/1.1" 200 - "" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1"
[2018-04-23T16:21:28.963] [INFO] logInfo - ::1 - - "GET /stylesheets/style.css HTTP/1.1" 200 566 "http://localhost:8088/" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1"
[2018-04-23T16:21:29.770] [INFO] logInfo - ::1 - - "GET /v1/home HTTP/1.1" 200 478 "http://localhost:8088/" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1"
[2018-04-23T16:39:15.024] [INFO] logInfo - ::1 - - "GET / HTTP/1.1" 200 - "" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1"
[2018-04-23T16:39:15.114] [INFO] logInfo - ::1 - - "GET /stylesheets/style.css HTTP/1.1" 200 566 "http://localhost:8088/" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1"
[2018-04-23T16:39:16.458] [INFO] logInfo - ::1 - - "GET /v1/home HTTP/1.1" 200 478 "http://localhost:8088/" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1"
[2018-04-23T16:39:40.294] [INFO] logInfo - ::1 - - "GET / HTTP/1.1" 200 - "" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1"
[2018-04-23T16:39:40.412] [INFO] logInfo - ::1 - - "GET /stylesheets/style.css HTTP/1.1" 200 566 "http://localhost:8088/" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1"
[2018-04-23T16:39:41.751] [INFO] logInfo - ::1 - - "GET /v1/home HTTP/1.1" 200 478 "http://localhost:8088/" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1"
[2018-04-23T16:40:03.825] [INFO] logInfo - ::1 - - "GET / HTTP/1.1" 200 - "" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1"
[2018-04-23T16:40:03.923] [INFO] logInfo - ::1 - - "GET /stylesheets/style.css HTTP/1.1" 200 566 "http://localhost:8088/" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1"
[2018-04-23T16:40:05.507] [INFO] logInfo - ::1 - - "GET /v1/home HTTP/1.1" 200 478 "http://localhost:8088/" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1"
[2018-04-23T16:40:59.376] [INFO] logInfo - ::1 - - "GET /add HTTP/1.1" 200 - "http://localhost:8088/" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1"
[2018-04-23T16:40:59.499] [INFO] logInfo - ::1 - - "GET /stylesheets/style.css HTTP/1.1" 200 566 "http://localhost:8088/add" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1"
